unit,landuse,geo\time	2015 	2012 	2009 
CVA,LUB,EL6	2.7 	2.6 	1.6 
CVA,LUB,EL61	5.1 	5.4 	3.5 
CVA,LUB,EL62	20.4 	19 	12.3 
CVA,LUB,EL63	6.2 	6.4 	3.3 
CVA,LUB,EL64	4.4 	4.1 	2.7 
CVA,LUB,EL65	6.6 	5.6 	3.4 
CVA,LUB,ES	0.7 	0.7 	0.7 
CVA,LUB,ES1	1.8 	1.7 	1.3 
CVA,LUB,ES11	2.1 	2.2 	1.6 
CVA,LUB,ES12	3.8 	3.3 	2.7 
CVA,LUB,ES13	6 	5.7 	5.3 
CVA,LUB,ES2	2 	2 	1.4 
